,callDateTime,priority,district,description,callNumber,incidentLocation,location
1048127,11/11/2015 17:04,Low,ND,HIT AND RUN,P153152188,THE ALAMEDA/ARGONNE DR,"(39.340069,-76.600194)"
1048128,11/11/2015 17:03,Medium,SW,FAMILY DISTURB,P153152189,2600 MCHENRY ST,"(39.2838528,-76.6576800)"
1048129,11/11/2015 18:58,Medium,SE,SUSPICIOUS PERS,P153152585,100 BLK ALBEMARLE ST,"(39.2885114,-76.6038130)"
1048130,11/11/2015 19:01,Low,TRU,LARCENY F/AUTO,P153152586,6600 EASTERN AV,"(39.2879086,-76.5356438)"
1048131,11/11/2015 19:00,Medium,CD,COMMON ASSAULT,P153152587,800 LINDEN AV,"(39.2987980,-76.6211370)"
1048132,11/11/2015 19:01,Medium,SW,BURGLARY,P153152588,300 S BENTALOU ST,"(39.2843375,-76.6526867)"
1048133,11/11/2015 19:03,Medium,TRU,911/NO  VOICE,P153152589,1700 EUTAW PL,"(39.3068760,-76.6304080)"
1048134,11/11/2015 17:11,Medium,NE,JUV DISTURBANCE,P153152218,HILLEN RD/E 0TH ST,"(39.324618,-76.588773)"
1048135,11/11/2015 17:11,Low,CD,AUTO ACCIDENT,P153152219,N EUTAW ST/N MARTIN LUTHER KING JR BL,"(39.300467,-76.621735)"
1048136,11/11/2015 17:12,Medium,CD,COMMON ASSAULT,P153152221,300 N CHARLES ST,"(39.2926636,-76.6156038)"
1048137,11/11/2015 17:13,Non-Emergency,NW,VEHICLE DISTURB,P153152222,DUVALL AV/N LOUDON AV,"(39.317947,-76.688107)"
1048138,11/11/2015 17:13,Medium,ND,911/NO  VOICE,P153152223,900 BELGIAN AV,"(39.3406501,-76.6033018)"
1048139,11/11/2015 17:12,Low,NE,LARCENCY,P153152224,3700 RAVENWOOD AV,"(39.3155122,-76.5666418)"
1048140,11/11/2015 17:16,Low,NE,WANTED ON WARR,P153152226,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
1048141,11/11/2015 17:16,Medium,WD,FAMILY DISTURB,P153152227,1500 N BENTALOU ST,"(39.3050372,-76.6538461)"
1048142,11/11/2015 17:15,Medium,WD,911/NO  VOICE,P153152228,2000-45 WINCHESTER ST,"(39.3018367,-76.6515506)"
1048143,11/11/2015 17:10,Low,NW,AUTO ACCIDENT,P153152229,5600 REISTERSTOWN RD,"(39.3485434,-76.6927030)"
1048144,11/11/2015 17:16,High,NW,HOLDUP ALARM,P153152230,5600 KEY AV,"(39.3561343,-76.6769150)"
1048145,11/11/2015 17:15,Medium,CD,INJURED PERSON,P153152231,UNIVERSITY HOSPITAL,"(39.287666,-76.625309)"
1048146,11/11/2015 17:14,Non-Emergency,SS,SUPV COMPLAINT,P153152232,SHERWOOD AV/E 0TH ST,"(39.316902,-76.596472)"
1048147,11/11/2015 17:18,High,CD,Field Interview,P153152233,W LEXINGTON ST/N EUTAW ST,"(39.291497,-76.621058)"
1048148,11/11/2015 17:18,High,SE,AUTO ACC/INJURY,P153152234,6500 QUAD AV,"(39.2996857,-76.5373970)"
1048149,11/11/2015 17:12,Low,ED,AUTO ACCIDENT,P153152235,E NORTH AV/HARFORD AV,"(39.311929,-76.599356)"
1048150,11/11/2015 17:14,High,CD,ROBBERY UNARMED,P153152236,200 E PRATT ST,"(39.2870429,-76.6114440)"
1048151,11/11/2015 17:16,Low,SW,LARCENCY,P153152237,1800 SPENCE ST,"(39.2688890,-76.6516989)"
1048152,11/11/2015 17:17,Medium,NE,911/NO  VOICE,P153152238,5300 MORAVIA RD,"(39.3229978,-76.5484210)"
1048153,11/11/2015 17:16,Medium,NW,BURGLARY,P153152239,6000 HIGHGATE DR,"(39.3593990,-76.6853860)"
1048154,11/11/2015 17:15,Medium,WD,NARCOTICSOutside,P153152240,PRESBURY ST/MORELAND AV,"(39.307569,-76.655836)"
1048155,11/11/2015 17:16,Non-Emergency,SW,56,P153152242,1000 LYNDHURST ST,"(39.2987110,-76.6817300)"
1048156,11/11/2015 17:21,Low,NE,Transport,P153152244,CENTRAL BOOKING,"(39.298946,-76.610470)"
1048157,11/11/2015 17:21,High,ED,Field Interview,P153152245,E NORTH AV/HARFORD AV,"(39.311929,-76.599356)"
1048158,11/11/2015 17:19,Medium,SE,FAMILY DISTURB,P153152246,3300 FLEET ST,"(39.2856855,-76.5697613)"
1048159,11/11/2015 17:18,Medium,NE,MENTAL CASE,P153152247,2700 PELHAM AV,"(39.3268540,-76.5736890)"
1048160,11/11/2015 17:22,High,SE,Field Interview,P153152248,E PRATT ST/S ANN ST,"(39.289324,-76.591634)"
